gene_name,pvalue,log2FoldChange,disease,cell_type
SNCAIP,0.000468842,-0.214855955,ALS,iPSMN
METAP2,0.000477432,0.096496186,ALS,iPSMN
THSD4-AS1,0.000478711,-0.71653411,ALS,iPSMN
FGF19,0.000486306,-0.803904161,ALS,iPSMN
UPP1,0.00049126,0.173447829,ALS,iPSMN
EEFSEC,0.000505448,-0.10114267,ALS,iPSMN
TRMT10A,0.000513396,0.156619933,ALS,iPSMN
LCN9,0.000519087,1.101649483,ALS,iPSMN
LINC01881,0.000520717,0.191643817,ALS,iPSMN
TCEA2,0.000539632,-0.10105127,ALS,iPSMN
ALG10B,0.000540642,0.315145114,ALS,iPSMN
DIO3OS,0.000549645,-0.735241374,ALS,iPSMN
RNF39,0.000550784,0.910780826,ALS,iPSMN
PDCD6IPP1,0.000556369,0.82760701,ALS,iPSMN
PPP5C,0.000599277,-0.056817945,ALS,iPSMN
FAM120AOS,0.000604536,-0.083085018,ALS,iPSMN
ZNF880,0.000609817,0.164812659,ALS,iPSMN
TMC4,0.000614823,-0.651375944,ALS,iPSMN
LGALS3BP,0.000631602,-0.130388485,ALS,iPSMN
SPAG8,0.000664197,-0.270429555,ALS,iPSMN
ITGA6,0.000667303,-0.237357183,ALS,iPSMN
KLHL41,0.000673686,-0.39481505,ALS,iPSMN
AC008397.2,0.000678066,0.34822762,ALS,iPSMN
SCGN,0.000695659,-0.869134425,ALS,iPSMN
ZNF44,0.000696276,0.107370354,ALS,iPSMN
DIS3,0.000699696,0.074170941,ALS,iPSMN
AC004264.1,0.000708588,0.458712879,ALS,iPSMN
ZNF841,0.000709777,0.139591201,ALS,iPSMN
LRRC4,0.000714859,-0.157275004,ALS,iPSMN
KLHDC8A,0.000715378,-0.216888899,ALS,iPSMN
HAVCR2,0.000716464,0.322718672,ALS,iPSMN
HTR1E,0.000724373,-0.740223798,ALS,iPSMN
AL365256.1,0.000725296,-0.434143696,ALS,iPSMN
AC011468.1,0.00074439,0.255426743,ALS,iPSMN
CCNK,0.00075348,0.15204959,ALS,iPSMN
RPS27L,0.000767052,0.167500825,ALS,iPSMN
AL365181.3,0.000768624,0.372265083,ALS,iPSMN
GPM6B,0.000771822,-0.167234057,ALS,iPSMN
ZBED1,0.000778044,-0.15465664,ALS,iPSMN
AC068418.2,0.000779508,0.731446939,ALS,iPSMN
HMGN1P38,0.000788171,0.496973679,ALS,iPSMN
BBC3,0.00079208,0.200943324,ALS,iPSMN
SNORD3B-1,0.000792412,-0.865782731,ALS,iPSMN
SLC19A1,0.000797577,-0.142508981,ALS,iPSMN
PAOX,0.000801051,-0.182768834,ALS,iPSMN
CCDC178,0.000827047,-0.428874034,ALS,iPSMN
CSPG5,0.000828253,-0.202258177,ALS,iPSMN
AC110285.2,0.000862986,-0.259931406,ALS,iPSMN
SYNE2,0.000865615,-0.112576709,ALS,iPSMN
TEKT2,0.000880119,-0.224564344,ALS,iPSMN
INTS1,0.000883794,-0.11559207,ALS,iPSMN
CRYZ,0.000886031,0.368216245,ALS,iPSMN
SLC38A5,0.00089614,-0.362106951,ALS,iPSMN
AC092969.1,0.00089925,-0.388473869,ALS,iPSMN
BTLA,0.000900637,0.621758918,ALS,iPSMN
KMO,0.000902907,-0.918776974,ALS,iPSMN
OPRD1,0.000905029,0.372792285,ALS,iPSMN
AC243964.4,0.000914159,9.787264495,ALS,iPSMN
NEPRO,0.000923169,0.098475502,ALS,iPSMN
DDB2,0.000927729,0.255679906,ALS,iPSMN
INSC,0.000933684,0.55798243,ALS,iPSMN
MPHOSPH10,0.000938185,0.090589537,ALS,iPSMN
NPY5R,0.0009393,-0.603111487,ALS,iPSMN
DHX29,0.000940661,0.072732273,ALS,iPSMN
