gene_name,pvalue,log2FoldChange,disease,cell_type
NBEAL2,0.297688757,-0.059592375,ALS,iPSMN
LNPEP,0.297708483,0.028099811,ALS,iPSMN
UBE2N,0.297734672,-0.034562165,ALS,iPSMN
AC090181.3,0.297757851,0.060761301,ALS,iPSMN
TMEM130,0.297781751,0.046922515,ALS,iPSMN
FCHSD1,0.297803317,0.071733609,ALS,iPSMN
KRBOX4,0.297841965,0.023678582,ALS,iPSMN
GK,0.29787265,-0.042869912,ALS,iPSMN
TPBGL,0.29790262,0.105709276,ALS,iPSMN
MYH2,0.297949196,-0.258344836,ALS,iPSMN
AC117503.2,0.297951718,-0.09410173,ALS,iPSMN
AL109659.2,0.297964728,0.114920671,ALS,iPSMN
FP671120.8,0.29796895,-0.351623845,ALS,iPSMN
DPCD,0.298000257,-0.038737453,ALS,iPSMN
FAM242F,0.298042635,-0.416672722,ALS,iPSMN
CCDC155,0.298064259,0.184256047,ALS,iPSMN
GREB1,0.298371951,0.050613945,ALS,iPSMN
ELF1,0.298448027,0.064409947,ALS,iPSMN
UNC13B,0.298499866,-0.030661074,ALS,iPSMN
AC012306.2,0.298541555,-0.046384144,ALS,iPSMN
DUX4L37,0.298548496,0.28850614,ALS,iPSMN
SNORA2C,0.298592375,0.150858446,ALS,iPSMN
MRPL30P1,0.298598099,0.39850446,ALS,iPSMN
LINC00899,0.298611553,-0.346647273,ALS,iPSMN
EIPR1,0.298658245,-0.028595173,ALS,iPSMN
LINC02210,0.298665723,-0.024897154,ALS,iPSMN
PPME1,0.298685756,0.023445437,ALS,iPSMN
CCDC38,0.298720857,0.182598265,ALS,iPSMN
AC105940.2,0.298746401,0.174047497,ALS,iPSMN
FAM122A,0.298840368,0.026863208,ALS,iPSMN
GRPEL1,0.298840993,-0.031329747,ALS,iPSMN
OR51E1,0.298841466,-0.34910984,ALS,iPSMN
AP001120.5,0.298875472,0.251216673,ALS,iPSMN
AC064850.1,0.298951397,0.106337817,ALS,iPSMN
LHX5,0.299116315,0.166187737,ALS,iPSMN
PCDHA14,0.299117802,-0.487826831,ALS,iPSMN
PKM,0.29912949,0.045574684,ALS,iPSMN
SMARCA4,0.299142099,-0.021835968,ALS,iPSMN
PGBD5,0.299144148,-0.040233378,ALS,iPSMN
C22orf34,0.299191956,0.251080701,ALS,iPSMN
AC009139.1,0.299214511,-0.14042844,ALS,iPSMN
OFD1P17,0.299226655,-0.285431956,ALS,iPSMN
RPSAP13,0.299290936,0.165747533,ALS,iPSMN
FMO1,0.299357959,0.547160693,ALS,iPSMN
AP001318.2,0.299423425,0.079535997,ALS,iPSMN
AC126118.1,0.299464196,0.063388968,ALS,iPSMN
FAR2P1,0.29947561,-0.276651033,ALS,iPSMN
RTKN,0.299519758,-0.0543713,ALS,iPSMN
DEPDC1B,0.299622333,-0.107249155,ALS,iPSMN
H4-16,0.299625724,-0.087376533,ALS,iPSMN
TLNRD1,0.299626844,0.031912921,ALS,iPSMN
CTNNA1,0.299635079,0.058910543,ALS,iPSMN
HMCES,0.299660423,0.023395472,ALS,iPSMN
MEX3A,0.299745343,-0.028819863,ALS,iPSMN
MTHFD2P7,0.299758086,-0.266852576,ALS,iPSMN
CYYR1-AS1,0.299774062,-0.158353194,ALS,iPSMN
METTL7A,0.29978597,-0.30651202,ALS,iPSMN
CTRC,0.299792168,0.21013316,ALS,iPSMN
AL023581.2,0.299830875,-0.187973188,ALS,iPSMN
TFAP2B,0.299908196,0.303788138,ALS,iPSMN
MZF1-AS1,0.299910114,0.046481146,ALS,iPSMN
LINC01238,0.299936012,0.100112411,ALS,iPSMN
MEGF11,0.299939531,0.098242122,ALS,iPSMN
AC019131.2,0.299961792,-0.068628645,ALS,iPSMN
AC002553.1,0.299963506,-0.114059848,ALS,iPSMN
PDCL,0.299988703,0.033348193,ALS,iPSMN
HADHA,0.300015349,0.030733079,ALS,iPSMN
DHX40P1,0.300059514,-0.200776194,ALS,iPSMN
AL355385.1,0.30014862,-0.116459294,ALS,iPSMN
AP001160.4,0.300179688,-0.11968867,ALS,iPSMN
SELENOF,0.300200334,0.030759652,ALS,iPSMN
NAIPP4,0.300212125,0.099763214,ALS,iPSMN
SNORA60,0.300213556,0.344942606,ALS,iPSMN
GMDS,0.30021441,0.101314315,ALS,iPSMN
OPN4,0.300248997,-0.546919238,ALS,iPSMN
UTF1,0.300275138,0.195502625,ALS,iPSMN
CU634019.2,0.300283387,-0.364557964,ALS,iPSMN
KCNQ1,0.300298842,-0.142869032,ALS,iPSMN
ZNF354A,0.300316267,-0.03089088,ALS,iPSMN
AMPD3,0.300342847,-0.100593146,ALS,iPSMN
RPL3L,0.300381469,-0.214222955,ALS,iPSMN
LINC01593,0.300409979,-0.263242119,ALS,iPSMN
EMP2,0.300415628,0.120408348,ALS,iPSMN
LINC00595,0.300492433,-0.139214112,ALS,iPSMN
TFAP2E,0.300511705,0.077306023,ALS,iPSMN
MCM8,0.300531175,0.050802616,ALS,iPSMN
OLFML1,0.300659461,0.305240427,ALS,iPSMN
TRIM49D1,0.300669843,-0.67937016,ALS,iPSMN
LINC02477,0.300673972,-0.556535386,ALS,iPSMN
RPSAP21,0.30075813,-0.123807874,ALS,iPSMN
DOK7,0.300833217,0.120968763,ALS,iPSMN
RAB21,0.300854818,0.026143807,ALS,iPSMN
MYADML2,0.300855293,0.121687251,ALS,iPSMN
AC006486.2,0.300918591,-0.082361185,ALS,iPSMN
FILIP1,0.300948712,-0.097353655,ALS,iPSMN
AL136531.3,0.300956388,-0.125230769,ALS,iPSMN
TULP4,0.300961437,0.031451035,ALS,iPSMN
HOMER1,0.300964957,0.03749148,ALS,iPSMN
GSG1,0.300976737,-0.230324298,ALS,iPSMN
STARD3NL,0.301023209,0.025702379,ALS,iPSMN
WHAMMP3,0.301034313,-0.094023781,ALS,iPSMN
MKRN2,0.301102156,0.02399668,ALS,iPSMN
AP001351.1,0.301130592,-0.174790275,ALS,iPSMN
TMEM179B,0.301131957,-0.038164068,ALS,iPSMN
RNF38,0.301154179,0.03609339,ALS,iPSMN
ZNF322,0.301184604,0.03067045,ALS,iPSMN
CNTNAP3B,0.301201547,-0.10396763,ALS,iPSMN
PARGP1,0.301244201,0.03415331,ALS,iPSMN
FAM53B,0.301254572,-0.030680311,ALS,iPSMN
DNMT1,0.301277165,-0.033717846,ALS,iPSMN
LINC02073,0.301352509,0.181904762,ALS,iPSMN
TMEM35B,0.301376368,0.1446847,ALS,iPSMN
ZP3P2,0.301399493,0.17796168,ALS,iPSMN
LINC02485,0.301478099,-0.264785195,ALS,iPSMN
AFF2,0.30148454,-0.058130603,ALS,iPSMN
MKI67,0.301487815,-0.182542275,ALS,iPSMN
AL445670.1,0.301507044,0.156612087,ALS,iPSMN
PDGFA,0.301517332,0.057245747,ALS,iPSMN
CREM,0.30152234,0.040789961,ALS,iPSMN
PAXIP1-AS1,0.301605836,-0.0304543,ALS,iPSMN
EPB41L4A-AS1,0.301751835,0.065275527,ALS,iPSMN
RPS29,0.301883332,0.057954628,ALS,iPSMN
ELP1,0.30191135,0.026284019,ALS,iPSMN
CHEK2P2,0.301997948,0.319570301,ALS,iPSMN
AC073487.1,0.302004157,-0.085795496,ALS,iPSMN
RPSAP19,0.302014992,-0.120563075,ALS,iPSMN
OR1F2P,0.302065561,-0.209375824,ALS,iPSMN
PLP2,0.30215445,0.103938143,ALS,iPSMN
FAM166A,0.302164598,-0.137710439,ALS,iPSMN
CRYM-AS1,0.30217676,0.214004814,ALS,iPSMN
TARDBPP2,0.302176937,-0.251800794,ALS,iPSMN
CCDC149,0.302366517,-0.050712546,ALS,iPSMN
AC005838.3,0.302421388,-0.109990792,ALS,iPSMN
GIMAP4,0.302437475,-0.519165978,ALS,iPSMN
CFAP44,0.302445355,-0.127577428,ALS,iPSMN
AC135178.3,0.302487793,0.521083114,ALS,iPSMN
HADHB,0.302569666,0.036136853,ALS,iPSMN
RPL6P25,0.302625111,-0.284214555,ALS,iPSMN
P2RX6P,0.302672833,-0.488613858,ALS,iPSMN
AL356806.1,0.302673476,0.337513763,ALS,iPSMN
AC022916.2,0.302678354,-0.057383998,ALS,iPSMN
AC118553.1,0.302683951,0.074804053,ALS,iPSMN
AC007663.2,0.302687739,-0.228046797,ALS,iPSMN
AC109347.1,0.302751253,0.074263552,ALS,iPSMN
H1-6,0.30276369,-0.263805772,ALS,iPSMN
AC226118.1,0.30294965,0.218837258,ALS,iPSMN
AC006450.3,0.302989951,-0.548154106,ALS,iPSMN
PBX4,0.303012488,-0.062687323,ALS,iPSMN
AL137161.1,0.303016868,-0.184261649,ALS,iPSMN
KLHL8,0.303026661,-0.026773307,ALS,iPSMN
ADRM1,0.303095456,-0.03230703,ALS,iPSMN
SCGB2B2,0.303115366,-0.146145955,ALS,iPSMN
TPRA1,0.303116835,-0.027417674,ALS,iPSMN
CD59,0.303140098,0.034102668,ALS,iPSMN
TOMM20P4,0.303203234,0.22256847,ALS,iPSMN
SNORA46,0.303238827,0.262523914,ALS,iPSMN
AC079601.2,0.303293938,0.139005701,ALS,iPSMN
AC245452.1,0.303306265,-0.073189187,ALS,iPSMN
AL365184.2,0.303319188,-0.425646984,ALS,iPSMN
RAF1,0.303341752,0.01422828,ALS,iPSMN
SLC22A4,0.303381172,0.054228717,ALS,iPSMN
AC025754.1,0.30347035,0.272185214,ALS,iPSMN
ASCL2,0.30353463,-0.218873171,ALS,iPSMN
RAD9A,0.303587679,-0.041520556,ALS,iPSMN
ECI1,0.303611681,-0.038786105,ALS,iPSMN
PROSER3,0.303637056,-0.042330992,ALS,iPSMN
HERC2P9,0.303715124,0.041686605,ALS,iPSMN
AC046134.1,0.303744182,0.338648966,ALS,iPSMN
GPSM1,0.303757456,-0.030004912,ALS,iPSMN
PSPH,0.303810783,0.048964895,ALS,iPSMN
CTSA,0.303817888,0.052864758,ALS,iPSMN
YY2,0.303844084,-0.055735225,ALS,iPSMN
FOXP1-IT1,0.303859321,0.100913737,ALS,iPSMN
AL079342.3,0.303990926,-0.125069346,ALS,iPSMN
BAK1P1,0.303996211,-0.106144347,ALS,iPSMN
AC005789.1,0.303998309,-0.357970313,ALS,iPSMN
ZCCHC17,0.304074463,-0.026706741,ALS,iPSMN
NIBAN3,0.304090265,0.084912848,ALS,iPSMN
REEP6,0.304117805,-0.062250622,ALS,iPSMN
AC011287.1,0.304184307,0.24289775,ALS,iPSMN
LINC02427,0.30420276,-0.106143775,ALS,iPSMN
RNVU1-18,0.3042106,0.215786253,ALS,iPSMN
CCDC88B,0.304216496,0.096069787,ALS,iPSMN
CXXC4,0.304227424,0.042289995,ALS,iPSMN
AC140504.1,0.304246538,-0.263232028,ALS,iPSMN
AL117336.2,0.304265608,-0.070632913,ALS,iPSMN
MAP4K3-DT,0.304346888,0.055715955,ALS,iPSMN
AKAP3,0.304463246,-0.068920123,ALS,iPSMN
AC036214.2,0.304464762,-0.078020291,ALS,iPSMN
JARID2-AS1,0.304482187,0.219859426,ALS,iPSMN
BMP5,0.304560744,-0.274982613,ALS,iPSMN
PROX1-AS1,0.304579842,-0.107139242,ALS,iPSMN
SMAD2,0.304619494,-0.02455001,ALS,iPSMN
AC111006.1,0.30463913,0.124079704,ALS,iPSMN
FAM90A24P,0.304670405,-0.33240657,ALS,iPSMN
RPL5P13,0.304683243,0.236751357,ALS,iPSMN
AC012651.1,0.304775129,-0.102148332,ALS,iPSMN
HSF2,0.304780676,0.039838436,ALS,iPSMN
MCM2,0.304825107,-0.099686162,ALS,iPSMN
AL133335.1,0.304850859,-0.295725913,ALS,iPSMN
VCAN,0.304853664,-0.127663718,ALS,iPSMN
MIR503HG,0.304912836,-0.170170523,ALS,iPSMN
AC004908.3,0.30491795,0.104335562,ALS,iPSMN
SNORD116-22,0.304932536,0.218580525,ALS,iPSMN
AC015660.3,0.304992885,0.187470504,ALS,iPSMN
ZNF667-AS1,0.305039083,0.235708701,ALS,iPSMN
CORO2B,0.305046878,0.04289238,ALS,iPSMN
ZNF575,0.30509713,-0.090075189,ALS,iPSMN
AL136038.5,0.305108111,0.074760541,ALS,iPSMN
LDHBP1,0.305187141,-0.244482739,ALS,iPSMN
LINC02352,0.305255329,-0.060134217,ALS,iPSMN
TIMM23,0.305284791,-0.0313598,ALS,iPSMN
KCNJ11,0.305311244,0.059707604,ALS,iPSMN
PIGA,0.30532343,0.061150433,ALS,iPSMN
TMEM101,0.305374287,0.041729132,ALS,iPSMN
F10-AS1,0.305535568,-0.386460314,ALS,iPSMN
MED12L,0.305593838,0.049652838,ALS,iPSMN
RPL12P19,0.305594887,-0.277606234,ALS,iPSMN
RAD21,0.305627921,0.029946306,ALS,iPSMN
DGUOK,0.305630795,0.02170509,ALS,iPSMN
MINDY4B,0.305636109,-0.245005802,ALS,iPSMN
DYRK2,0.305659549,-0.025344517,ALS,iPSMN
MRPL42,0.305664512,0.037349521,ALS,iPSMN
SIK1B,0.305668309,0.082385445,ALS,iPSMN
RGP1,0.305668484,-0.022957781,ALS,iPSMN
PIP5K1A,0.305693839,0.031408041,ALS,iPSMN
AC125611.4,0.30570094,0.105698662,ALS,iPSMN
ZNF81,0.305794381,-0.03401879,ALS,iPSMN
CCDC127,0.305823513,0.026364994,ALS,iPSMN
RDH11,0.305833833,0.021259964,ALS,iPSMN
AC092070.2,0.30585401,-0.109982935,ALS,iPSMN
CRMP1,0.305917681,-0.045010588,ALS,iPSMN
OR13C3,0.305940717,-0.340770284,ALS,iPSMN
LAMP3,0.305969483,0.11659069,ALS,iPSMN
NHLRC4,0.306031652,-0.089151779,ALS,iPSMN
MCPH1,0.306065856,-0.021103227,ALS,iPSMN
PDCD1,0.306111502,0.461091427,ALS,iPSMN
DPY19L3,0.306182295,-0.042222123,ALS,iPSMN
HYPK,0.306193894,0.059792091,ALS,iPSMN
MIR663A,0.306366188,0.252045989,ALS,iPSMN
CHIC2,0.306374288,-0.034262978,ALS,iPSMN
RIPK1,0.306381351,0.053933037,ALS,iPSMN
GATC,0.306386877,-0.021083293,ALS,iPSMN
SEC24B,0.306412289,0.024503844,ALS,iPSMN
AL365209.1,0.306413262,0.150172128,ALS,iPSMN
AC127070.1,0.306430819,0.133303959,ALS,iPSMN
AP5S1,0.306450025,-0.048776484,ALS,iPSMN
AC019294.2,0.306458396,-0.101408822,ALS,iPSMN
WNT3,0.306490144,-0.042857507,ALS,iPSMN
LINC02388,0.306495968,-0.273613587,ALS,iPSMN
AP000437.1,0.306517744,0.089996454,ALS,iPSMN
ATP6V1G2,0.30652298,0.047030553,ALS,iPSMN
AC124068.1,0.30654705,-0.083295583,ALS,iPSMN
SCNN1B,0.306552941,-0.447471804,ALS,iPSMN
CLCF1,0.306585445,0.069180835,ALS,iPSMN
SLC12A4,0.306677732,0.112324394,ALS,iPSMN
AC092757.2,0.306742351,-0.291399354,ALS,iPSMN
CHRM3,0.306762718,-0.141477348,ALS,iPSMN
NBPF19,0.306776002,0.074926345,ALS,iPSMN
AC087854.1,0.306808207,0.166610822,ALS,iPSMN
PPM1F,0.306846701,-0.026527272,ALS,iPSMN
AC023512.1,0.306856428,-0.234280383,ALS,iPSMN
SLC16A14,0.306880999,0.039411545,ALS,iPSMN
UQCRBP1,0.306888605,-0.353844555,ALS,iPSMN
RFPL1,0.306923258,0.207422976,ALS,iPSMN
GALNT17,0.307082468,-0.079663625,ALS,iPSMN
AC090114.3,0.307106517,0.070703875,ALS,iPSMN
NAP1L6P,0.307109225,-0.570830722,ALS,iPSMN
ATXN7L3B,0.307188649,-0.029006133,ALS,iPSMN
AC005479.1,0.307210537,0.165292279,ALS,iPSMN
BACH1-IT1,0.307326442,0.0860593,ALS,iPSMN
TMEM134,0.307347072,-0.035813422,ALS,iPSMN
FBXO5,0.307353978,-0.097040604,ALS,iPSMN
LUZP1,0.307362147,0.043461179,ALS,iPSMN
KCTD10P1,0.307450313,-0.201480567,ALS,iPSMN
ROBO4,0.307486097,0.376340994,ALS,iPSMN
AGAP5,0.307497548,0.055336351,ALS,iPSMN
ZSWIM2,0.307501132,-0.186588023,ALS,iPSMN
AL359513.1,0.307515443,0.066386199,ALS,iPSMN
AL591895.1,0.307518637,-0.299209706,ALS,iPSMN
AF241728.2,0.307552959,0.099144002,ALS,iPSMN
WDR77,0.30756352,-0.052803991,ALS,iPSMN
MRPS31,0.307590052,-0.027279458,ALS,iPSMN
AC021945.1,0.307591129,-0.233540968,ALS,iPSMN
AC108449.2,0.307623204,0.057051448,ALS,iPSMN
AL365356.1,0.307647289,0.340747166,ALS,iPSMN
IL17RA,0.307656857,0.0858746,ALS,iPSMN
AL159166.1,0.30766105,-0.281364608,ALS,iPSMN
MAN1A2,0.307667521,-0.029409029,ALS,iPSMN
AC234775.2,0.307688681,-0.149003779,ALS,iPSMN
C3orf67,0.307711154,-0.092981848,ALS,iPSMN
NTF4,0.307736841,-0.162968686,ALS,iPSMN
RND1,0.307770639,0.058798181,ALS,iPSMN
RPL7,0.30777107,0.041883395,ALS,iPSMN
AC073046.1,0.307830465,-0.060724091,ALS,iPSMN
HSPB6,0.307867185,-0.15542085,ALS,iPSMN
NBPF10,0.307882184,0.094624498,ALS,iPSMN
R3HDM1,0.307897269,-0.033387987,ALS,iPSMN
RPS2P44,0.307933382,-0.091179261,ALS,iPSMN
ARHGAP22,0.307996222,0.096903749,ALS,iPSMN
SPRYD4,0.308023531,-0.04281229,ALS,iPSMN
AC008808.1,0.308025436,0.216196943,ALS,iPSMN
AC107993.1,0.308160693,0.111403068,ALS,iPSMN
TEP1,0.308169894,0.059273219,ALS,iPSMN
LINC01311,0.308171857,0.049058209,ALS,iPSMN
ENTPD1,0.308174296,-0.176984127,ALS,iPSMN
PYGO1,0.308208028,-0.050185988,ALS,iPSMN
PSMB8-AS1,0.308258762,-0.131442908,ALS,iPSMN
AC006547.2,0.308295802,0.11882891,ALS,iPSMN
SOWAHC,0.308436119,0.033349552,ALS,iPSMN
AC120057.3,0.308454689,0.095829635,ALS,iPSMN
HNRNPA1P38,0.308483923,0.269383786,ALS,iPSMN
LRRC37A9P,0.308500037,-0.148562606,ALS,iPSMN
AL450326.1,0.308568798,-0.161433141,ALS,iPSMN
RAP1A,0.308617688,0.024205382,ALS,iPSMN
C10orf95,0.308637136,0.106729327,ALS,iPSMN
ARMCX3-AS1,0.308639664,0.203621846,ALS,iPSMN
SFTPC,0.308733959,-0.161726078,ALS,iPSMN
EIF3CL,0.308788565,-0.084750136,ALS,iPSMN
ASH1L-IT1,0.308920013,0.183277014,ALS,iPSMN
AL137060.3,0.308922675,-0.073425402,ALS,iPSMN
CCDC7,0.308991587,0.066438429,ALS,iPSMN
CXCL2,0.308997473,-0.225717626,ALS,iPSMN
LINC00682,0.309024311,0.141268929,ALS,iPSMN
HSPE1,0.309055448,-0.036298607,ALS,iPSMN
AC005920.1,0.309168795,0.15350671,ALS,iPSMN
MOB4,0.309174244,0.027949519,ALS,iPSMN
VPS18,0.309218642,-0.032610252,ALS,iPSMN
AL391987.4,0.309248075,-0.123998123,ALS,iPSMN
SCARNA18,0.309299595,0.243913533,ALS,iPSMN
UFSP1,0.309315475,-0.047964184,ALS,iPSMN
SPSB3,0.309380003,-0.032768502,ALS,iPSMN
AC005162.2,0.309387504,0.196128113,ALS,iPSMN
ABCF2,0.309394763,0.049504603,ALS,iPSMN
AC019097.1,0.309428125,-0.115565646,ALS,iPSMN
KIF25,0.309429074,-0.205678194,ALS,iPSMN
Z94721.3,0.309474594,-0.155107312,ALS,iPSMN
AP003717.2,0.309484351,-0.173380952,ALS,iPSMN
L3MBTL4,0.309502163,0.108260612,ALS,iPSMN
AP000787.2,0.309514543,0.194570518,ALS,iPSMN
SNORD35A,0.309516102,0.376969922,ALS,iPSMN
AC006077.2,0.309523379,0.065775103,ALS,iPSMN
RSF1,0.309528647,0.025542469,ALS,iPSMN
IFNAR1,0.309530277,0.027267234,ALS,iPSMN
CACNA1H,0.309564688,-0.052075208,ALS,iPSMN
SNORD116-14,0.309591834,0.22782173,ALS,iPSMN
AC107294.1,0.309648594,0.112758534,ALS,iPSMN
SEPTIN3,0.309657776,-0.049015266,ALS,iPSMN
AC024337.2,0.309710073,-0.213581168,ALS,iPSMN
AC005696.4,0.309825008,0.053271249,ALS,iPSMN
AC063944.3,0.309843851,-0.10412008,ALS,iPSMN
AC048382.5,0.309846216,-0.068363642,ALS,iPSMN
H3-3A,0.309846753,-0.031097519,ALS,iPSMN
AC010501.2,0.309883,-0.076693767,ALS,iPSMN
LINC00893,0.309894664,-0.066643842,ALS,iPSMN
CENPI,0.309904964,-0.1099771,ALS,iPSMN
AC007922.5,0.309909083,0.24953852,ALS,iPSMN
SNORA17B,0.310069025,0.656561494,ALS,iPSMN
AL133343.2,0.310093308,-0.131740643,ALS,iPSMN
BTBD10P2,0.310115573,0.117311304,ALS,iPSMN
LURAP1,0.310160063,0.074559807,ALS,iPSMN
ZCCHC9,0.310179539,0.034164409,ALS,iPSMN
AP001107.4,0.310206933,0.27437464,ALS,iPSMN
AL139339.2,0.310260453,-0.088003896,ALS,iPSMN
AL662907.1,0.310260535,-0.087124574,ALS,iPSMN
RPL31P63,0.310276838,-0.233372641,ALS,iPSMN
KRT17P5,0.310279951,-0.324358277,ALS,iPSMN
TEKT4P2,0.310316692,-0.741718037,ALS,iPSMN
AL157823.2,0.310339457,-0.268054137,ALS,iPSMN
AL391058.1,0.310464044,-0.104819433,ALS,iPSMN
HRH2,0.31049451,-0.110085684,ALS,iPSMN
SLC6A20,0.310552252,-0.20247187,ALS,iPSMN
SPATA32,0.310585393,0.17417764,ALS,iPSMN
SMIM14,0.310603734,0.032934318,ALS,iPSMN
ZNF318,0.310712279,0.021562706,ALS,iPSMN
VPS72,0.310718987,-0.028079352,ALS,iPSMN
ABCB4,0.310820231,0.103147883,ALS,iPSMN
AC135983.4,0.310866238,0.362680492,ALS,iPSMN
FAM177A1,0.310869877,0.029049062,ALS,iPSMN
GRID1,0.310886563,0.048394218,ALS,iPSMN
AC080023.1,0.310910242,0.256809158,ALS,iPSMN
AL390879.1,0.310950085,0.052534114,ALS,iPSMN
ZNF837,0.310950463,-0.051235971,ALS,iPSMN
SNX2,0.311035745,0.030324418,ALS,iPSMN
AL590062.1,0.311045245,0.057116486,ALS,iPSMN
ZRANB3,0.311095749,-0.038961033,ALS,iPSMN
SULT1B1,0.311123232,0.233797623,ALS,iPSMN
AL355334.2,0.311123807,-0.067028762,ALS,iPSMN
RPSAP57,0.311129167,-0.206271759,ALS,iPSMN
ZNF415P1,0.311214992,-0.306334448,ALS,iPSMN
NGRN,0.311255135,0.030513082,ALS,iPSMN
AC007192.1,0.311261391,-0.192442329,ALS,iPSMN
NAB1,0.311264642,-0.045002566,ALS,iPSMN
CGB7,0.311293376,0.14128726,ALS,iPSMN
AC093627.3,0.311298118,0.191315833,ALS,iPSMN
TPI1P1,0.311307321,-0.09542477,ALS,iPSMN
MGST1,0.311329339,-0.152163752,ALS,iPSMN
AC068448.2,0.311377564,-0.176884771,ALS,iPSMN
C3,0.311406961,-0.185412535,ALS,iPSMN
PSMC3IP,0.311449465,-0.053152273,ALS,iPSMN
COLGALT2,0.311454807,0.045574799,ALS,iPSMN
BX005195.1,0.311535581,0.220851136,ALS,iPSMN
FIGNL2-DT,0.311556873,0.106034153,ALS,iPSMN
AC097639.1,0.311559314,-0.105013948,ALS,iPSMN
ANKRD23,0.311592246,-0.04787888,ALS,iPSMN
ZNF76,0.311673988,-0.033981858,ALS,iPSMN
SLC22A11,0.311715299,0.217226532,ALS,iPSMN
RGS20,0.311736102,0.085336905,ALS,iPSMN
SPAG1,0.311745974,-0.082144233,ALS,iPSMN
SNHG15,0.311830113,0.050441187,ALS,iPSMN
RPS16,0.311831973,0.055429287,ALS,iPSMN
LINC02826,0.311875073,0.322200232,ALS,iPSMN
MIR4422HG,0.311875467,-0.265737495,ALS,iPSMN
AC005052.2,0.311925622,-0.100417523,ALS,iPSMN
SLC5A6,0.311950085,-0.033461199,ALS,iPSMN
AC005578.1,0.311980883,0.114380481,ALS,iPSMN
TGIF2-RAB5IF,0.311992768,0.225124948,ALS,iPSMN
AC090241.2,0.312035202,-0.120505574,ALS,iPSMN
COMMD2,0.312113567,-0.024744414,ALS,iPSMN
AC006116.7,0.312119743,0.137029402,ALS,iPSMN
LINC01184,0.312174189,-0.035227445,ALS,iPSMN
TOX,0.312224767,-0.157677593,ALS,iPSMN
TAS2R43,0.312302582,0.145986476,ALS,iPSMN
KCNF1,0.312303573,0.087418669,ALS,iPSMN
PRR4,0.31230594,-0.056696723,ALS,iPSMN
MFAP1,0.312346666,0.02098685,ALS,iPSMN
H3C10,0.312370628,-0.135302969,ALS,iPSMN
RNF135,0.312382034,-0.187173534,ALS,iPSMN
AL136313.1,0.31239129,-0.267166007,ALS,iPSMN
SLC25A45,0.312422489,-0.116363547,ALS,iPSMN
AC064807.1,0.312517535,-0.032906803,ALS,iPSMN
AC010327.5,0.312519547,0.070943091,ALS,iPSMN
AC021148.3,0.312551899,0.053722775,ALS,iPSMN
UBXN10-AS1,0.312618225,-0.140956689,ALS,iPSMN
AC024575.2,0.312654893,0.084244115,ALS,iPSMN
AL591122.1,0.312657726,-0.570820114,ALS,iPSMN
MSANTD2,0.312766275,0.02600904,ALS,iPSMN
FAM224B,0.312823472,-0.273174474,ALS,iPSMN
RNU6-1,0.312848596,0.751692485,ALS,iPSMN
RNF183,0.313012693,-0.202871948,ALS,iPSMN
AC100797.5,0.313033113,0.101511787,ALS,iPSMN
SDK1,0.313094587,-0.058814306,ALS,iPSMN
STXBP1,0.313099244,0.042313466,ALS,iPSMN
WDPCP,0.313124084,-0.041419142,ALS,iPSMN
AL356801.1,0.313141982,-0.087262274,ALS,iPSMN
COLCA1,0.31315199,-0.105104702,ALS,iPSMN
METTL4,0.313164164,0.03863228,ALS,iPSMN
AC105415.1,0.313193477,0.225936052,ALS,iPSMN
METTL25,0.313281406,0.058315637,ALS,iPSMN
ANP32BP1,0.313346293,0.248459349,ALS,iPSMN
AC116158.3,0.313422166,-0.055668257,ALS,iPSMN
ZNF215,0.313431297,-0.061456489,ALS,iPSMN
CLIC4,0.313442125,0.040870508,ALS,iPSMN
BDKRB2,0.313452835,0.149178917,ALS,iPSMN
AC068775.1,0.313505365,-0.578355443,ALS,iPSMN
CACNA2D1,0.313516842,-0.098588991,ALS,iPSMN
MAGEA3,0.313530931,-1.08802773,ALS,iPSMN
DNASE1L2,0.313554637,-0.065937207,ALS,iPSMN
AC254562.3,0.31360669,-0.08677634,ALS,iPSMN
AC079382.2,0.313644276,-0.382121517,ALS,iPSMN
CDK9,0.313692013,-0.023323736,ALS,iPSMN
ZNF569,0.313695731,0.03111211,ALS,iPSMN
AC245187.2,0.313718854,0.359040297,ALS,iPSMN
LIM2,0.313733772,0.330373058,ALS,iPSMN
AP003392.5,0.313782028,0.103390376,ALS,iPSMN
AL359317.2,0.313787581,0.090999683,ALS,iPSMN
AC092117.2,0.313859217,0.061157699,ALS,iPSMN
U2AF2,0.313899353,-0.024326732,ALS,iPSMN
PXDC1,0.313911968,0.073838054,ALS,iPSMN
AL449403.2,0.313922005,-0.173590772,ALS,iPSMN
ZNF271P,0.313947321,-0.027152223,ALS,iPSMN
AC046130.2,0.313964562,0.273183255,ALS,iPSMN
AC108517.2,0.314022472,-0.342739551,ALS,iPSMN
AC090543.3,0.314070082,-0.253436629,ALS,iPSMN
NBN,0.314086778,-0.051011571,ALS,iPSMN
ZBTB14,0.314102572,-0.023593718,ALS,iPSMN
MGLL,0.31410554,-0.078399196,ALS,iPSMN
AC110611.1,0.314106676,0.227603745,ALS,iPSMN
SNORD116-29,0.314112854,0.341646031,ALS,iPSMN
TSHZ3,0.314120174,0.040902672,ALS,iPSMN
